i,j,k,r,phi
0,22,19,17.0293863659,0.0
0,22,20,17.2916164658,0.0
0,22,21,17.6068168617,0.0
0,22,22,17.9722007556,0.0
0,22,23,18.3847763109,0.0
0,22,24,18.8414436814,0.0
0,22,25,19.3390796058,0.0
0,22,26,19.8746069144,0.0
0,22,27,20.4450483003,0.0
0,22,28,21.0475651798,0.0
0,22,29,21.6794833887,0.0
0,23,0,22.6715680975,0.0
0,23,1,22.0227155455,0.0
0,23,2,21.400934559,0.0
0,23,3,20.8086520467,0.0
0,23,4,20.2484567313,0.0
0,23,5,19.7230829233,0.0
0,23,6,19.2353840617,0.0
0,23,7,18.7882942281,0.0
0,23,8,18.3847763109,0.0
0,23,9,18.0277563773,0.0
0,23,10,17.7200451467,0.0
0,23,11,17.4642491966,0.0
0,23,12,17.2626765016,0.0
0,23,13,17.1172427686,0.0
0,23,14,17.0293863659,0.0
0,23,15,17.0,0.0
0,23,16,17.0293863659,0.0
0,23,17,17.1172427686,0.0
0,23,18,17.2626765016,0.0
0,23,19,17.4642491966,0.0
0,23,20,17.7200451467,0.0
0,23,21,18.0277563773,0.0
0,23,22,18.3847763109,0.0
0,23,23,18.7882942281,0.0
0,23,24,19.2353840617,0.0
0,23,25,19.7230829233,0.0
0,23,26,20.2484567313,0.0
0,23,27,20.8086520467,0.0
0,23,28,21.400934559,0.0
0,23,29,22.0227155455,0.0
0,24,0,23.0434372436,0.0
0,24,1,22.4053565024,0.0
0,24,2,21.7944947177,0.0
0,24,3,21.2132034356,0.0
0,24,4,20.6639783198,0.0
0,24,5,20.1494416796,0.0
0,24,6,19.6723155729,0.0
0,24,7,19.2353840617,0.0
0,24,8,18.8414436814,0.0
0,24,9,18.4932420089,0.0
0,24,10,18.1934053987,0.0
0,24,11,17.9443584449,0.0
0,24,12,17.7482393493,0.0
0,24,13,17.6068168617,0.0
0,24,14,17.5214154679,0.0
0,24,15,17.4928556845,0.0
0,24,16,17.5214154679,0.0
0,24,17,17.6068168617,0.0
0,24,18,17.7482393493,0.0
0,24,19,17.9443584449,0.0
0,24,20,18.1934053987,0.0
0,24,21,18.4932420089,0.0
0,24,22,18.8414436814,0.0
0,24,23,19.2353840617,0.0
0,24,24,19.6723155729,0.0
0,24,25,20.1494416796,0.0
0,24,26,20.6639783198,0.0
0,24,27,21.2132034356,0.0
0,24,28,21.7944947177,0.0
0,24,29,22.4053565024,0.0
0,25,0,23.4520787991,0.0
0,25,1,22.825424421,0.0
0,25,2,22.2261107709,0.0
0,25,3,21.6564078277,0.0
0,25,4,21.1187120819,0.0
0,25,5,20.6155281281,0.0
0,25,6,20.1494416796,0.0
0,25,7,19.7230829233,0.0
0,25,8,19.3390796058,0.0
0,25,9,19.0,0.0
0,25,10,18.7082869339,0.0
0,25,11,18.4661853126,0.0
0,25,12,18.2756668825,0.0
0,25,13,18.1383571472,0.0
0,25,14,18.0554700853,0.0
0,25,15,18.0277563773,0.0
0,25,16,18.0554700853,0.0
0,25,17,18.1383571472,0.0
0,25,18,18.2756668825,0.0
0,25,19,18.4661853126,0.0
0,25,20,18.7082869339,0.0
0,25,21,19.0,0.0
0,25,22,19.3390796058,0.0
0,25,23,19.7230829233,0.0
0,25,24,20.1494416796,0.0
0,25,25,20.6155281281,0.0
0,25,26,21.1187120819,0.0
0,25,27,21.6564078277,0.0
0,25,28,22.2261107709,0.0
0,25,29,22.825424421,0.0
0,26,0,23.8956062907,0.0
0,26,1,23.2808934536,0.0
0,26,2,22.6936114358,0.0
0,26,3,22.1359436212,0.0
0,26,4,21.610182785,0.0
